month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,product_category_name_computers_accessories,product_category_name_consoles_games,product_category_name_cool_stuff,product_category_name_furniture_decor,product_category_name_garden_tools,product_category_name_health_beauty,product_category_name_perfumery,product_category_name_watches_gifts
2017-01-05,1,0.006449983534590978,0.3734867460113463,0.13079935730066278,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,0.09845463609172482,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,False,False,False,False,False,False,False,False
2017-01-06,3,0.029204436004030932,0.2999982605411187,0.13079935730066278,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,0.09845463609172482,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,False,False,False,False,False,False,False,False
2017-01-07,6,0.06333611470819087,0.36466812776848606,0.13079935730066278,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,0.09845463609172482,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,False,False,False,False,False,False,False,False
2017-01-08,4,0.040581662238750905,0.3459285640024081,0.13079935730066278,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,0.09845463609172482,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,False,False,False,False,False,False,False,False
2017-01-09,2,0.017827209769310955,0.3734867460113463,0.13079935730066278,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,0.09845463609172482,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,False,False,False,False,False,False,False,False
2017-01-10,3,0.029204436004030932,0.3734867460113463,0.13079935730066278,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,0.09845463609172482,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,False,False,False,False,False,False,False,False
2017-01-11,11,0.10546527779497225,0.39833921551235846,0.10359418648322959,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,0.09845463609172482,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,False,False,False,False,False,False,False,False
2017-01-12,6,0.05448193385609975,0.3778960551327764,0.10087366941152844,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,0.09845463609172482,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,False,False,False,False,False,False,False,False
2018-01-01,19,0.18320181639459537,0.42211410650675646,0.10087366941152844,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,0.09845463609172482,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,False,False,False,False,False,False,False,False
2018-01-02,18,0.17330028696855726,0.32767892332129905,0.10087366941152844,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,0.09845463609172482,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,False,False,False,False,False,False,False,False
2018-01-03,17,0.16339875754251915,0.4196947094340318,0.10087366941152844,39,161,2,350,4.0,43,22,9,1,3,2018,15.88785047,0.09845463609172482,86.9,3.9,19.98235294,39.99,4.0,16.46235294,39.99,4.0,16.46235294,39.99,False,False,False,False,False,False,False,False
2018-01-04,13,0.12379263983836665,0.3441870174828288,0.10087366941152844,39,161,2,350,4.0,34,21,9,1,4,2018,12.14953271,0.09845463609172482,85.045,3.9,12.94,39.99,4.0,14.23615385,39.99,4.0,14.23615385,39.99,False,False,False,False,False,False,False,False
2018-01-05,19,0.18320181639459537,0.20919981548457733,0.10087366941152844,39,161,2,350,4.0,57,23,8,3,5,2018,10.26739356,0.09845463609172482,83.64961538,3.9,16.78038462,39.99,4.0,10.25631579,39.99,4.0,10.25631579,39.99,False,False,False,False,False,False,False,False
2018-01-06,5,0.04458040443006162,0.33610937176660804,0.10087366941152844,39,161,2,350,4.0,43,21,9,0,6,2018,6.503115265,0.09845463609172482,79.9,3.9,23.00565217,39.99,4.0,13.998,39.99,4.0,13.998,39.99,False,False,False,False,False,False,False,False
2018-01-07,8,0.07428499270817601,0.5538444479590738,0.10087366941152844,39,161,2,350,4.0,26,22,9,1,7,2018,12.07165109,0.09845463609172482,77.93333333,3.9,19.952,39.99,4.0,20.4175,39.99,4.0,20.4175,39.99,False,False,False,False,False,False,False,False
2018-01-08,8,0.07279939189406677,0.41533278546184155,0.09710785298252662,39,161,2,350,4.0,15,23,8,1,8,2018,9.293873313,0.09845463609172482,74.0,3.9,17.25571429,39.24,4.0,16.33375,39.24,4.0,16.33375,39.99,False,False,False,False,False,False,False,False
2017-01-03,6,0.0989162542061073,0.9697610102785865,0.2510544286001205,36,450,1,9000,4.1,21,23,8,1,3,2017,9.107142857,0.5924725822532402,69.9,4.1,32.68,69.9,4.1,32.68,69.9,4.1,32.68,69.85,False,False,False,False,True,False,False,False
2017-01-11,17,0.41178378565751456,0.9759859172136918,0.3971681060453906,36,450,1,9000,4.1,339,22,8,4,11,2017,16.19047619,0.5924725822532402,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,99.0,False,False,False,False,True,False,False,False
2017-01-07,13,0.059126912401547986,0.31830515542281435,0.0,49,100,4,150,4.2,13,21,10,1,7,2017,7.59180791,0.051844466600199396,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,4.2,13.47307692,19.85,False,True,False,False,False,False,False,False
2017-01-08,24,0.113326582102967,0.4095667658415099,0.0,49,100,4,150,4.2,33,23,8,1,8,2017,20.33898305,0.051844466600199396,19.9,4.2,16.16375,19.9,3.9,15.83272727,19.9,4.2,16.16375,19.9,False,True,False,False,False,False,False,False
2017-01-09,9,0.03941794160103199,0.4085351004532443,0.0,49,100,4,150,4.2,17,21,9,1,9,2017,7.627118644,0.051844466600199396,19.9,4.2,16.13333333,19.9,3.9,15.41111111,19.9,4.2,16.13333333,19.9,False,True,False,False,False,False,False,False
2017-01-10,28,0.14442515914498721,0.32038122062326585,0.008248931211086566,49,100,4,150,4.2,38,22,9,2,10,2017,23.72881356,0.051844466600199396,21.54285714,4.2,13.53428571,20.66666667,3.9,12.80333333,21.54285714,4.2,13.53428571,19.9,False,True,False,False,False,False,False,False
2017-01-11,28,0.1649264503796948,0.3241485150034911,0.023097007431211097,49,100,4,150,4.2,49,22,8,4,11,2017,23.72881356,0.051844466600199396,24.5,4.2,13.64535714,24.5,3.9,13.65217391,24.5,4.2,13.64535714,21.54285714,False,True,False,False,False,False,False,False
2017-01-12,16,0.09213201048834176,0.2979773273068558,0.023097007431211097,49,100,4,150,4.2,30,21,10,1,12,2017,13.55932203,0.051844466600199396,24.5,4.2,12.87375,24.5,3.9,13.52470588,24.5,4.2,12.87375,24.5,False,True,False,False,False,False,False,False
